,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,1089.731,550.414,828.048,1099.331,1115.042,911.055
1,992.156,512.75,773.934,1377.159,1792.98,749.553
2,892.469,463.334,712.008,1250.443,533.752,772.743
3,978.401,489.283,766.986,58.736,58.697,727.619
4,946.877,403.048,643.788,1310.213,981.979,630.014
5,935.424,377.502,578.799,1360.057,1145.827,788.149
6,940.778,310.289,497.598,827.472,788.793,461.888
7,943.062,298.649,488.326,40.918,41.354,640.696
8,936.644,348.979,524.61,1393.222,1077.076,581.475
9,955.345,345.737,533.874,814.312,740.842,591.666
10,967.938,358.363,549.694,1538.763,882.08,603.712
11,994.014,345.687,511.804,742.137,690.303,540.262
12,1011.041,360.879,565.173,914.798,506.099,508.811
13,1051.447,327.059,499.856,1098.792,633.124,456.728
14,1028.907,316.468,472.159,1258.307,1176.89,545.761
15,1028.365,324.457,517.654,1128.967,1061.319,579.483
16,1002.433,291.514,457.655,1195.264,761.895,489.763
17,1033.301,294.979,457.118,766.579,675.737,495.312
18,1036.425,320.202,483.167,871.742,862.1,741.412
19,935.548,300.856,487.293,438.851,464.391,612.606
20,1067.009,355.26,605.679,990.878,1156.663,573.743
21,1045.957,346.729,529.709,728.749,705.789,467.283
22,1008.977,315.016,489.392,796.748,534.506,477.288
23,1091.315,338.989,509.343,1211.291,1436.681,808.966
24,1042.448,305.802,469.865,1050.671,1266.602,540.538
25,1020.537,316.429,492.111,637.912,535.542,437.214
26,983.091,340.491,587.594,130.679,184.657,856.438
27,1086.24,302.972,466.839,670.992,622.949,424.176
28,1027.801,293.397,470.308,1372.459,1526.752,447.621
29,901.819,322.14,488.97,2080.494,1894.456,533.889
