,RF,RF-DAL,HT,HT-DAL,KNN,KNN-DAL,LR,LR-DAL
0,0.4573,0.5014,0.4616,0.5132,0.5252,0.5065,0.8642,0.7386
1,0.6333,0.2439,0.2128,0.2681,0.7433,0.264,0.9491,0.7979
2,1.3283,1.365,1.2922,1.6598,1.5749,1.4132,1.4457,0.9009
3,0.3867,0.3621,0.3766,0.3907,0.4368,0.4119,0.6696,0.5865
4,4.6119,11.6171,4.4951,6.2201,4.6892,10.0144,3.2477,2.4231
5,0.9876,1.0337,0.9964,1.146,1.0748,1.1303,1.2503,0.8701
6,1.1707,1.6913,1.2944,1.3543,1.3044,1.3893,1.4874,0.9346
7,1.2617,1.2672,1.2763,1.3648,1.2351,1.3841,1.1626,0.9111
8,0.0966,0.0812,0.136,0.1145,0.2413,0.103,0.6079,0.6441
9,0.1538,0.091,0.1212,0.1209,0.2317,0.1134,0.5002,0.6139
10,0.1463,0.0512,0.101,0.0866,0.1569,0.083,0.4852,0.6353
11,1.2399,1.5504,1.0713,1.1755,1.1504,1.2557,1.4033,0.8416
12,0.199,0.2266,0.1852,0.2494,0.245,0.2412,0.6105,0.7025
13,1.0312,2.2568,1.069,1.8676,1.2101,2.2794,1.3309,1.4182
14,0.0497,0.0311,0.1619,0.0676,0.1505,0.0532,0.4827,0.613
15,0.3486,0.2166,0.3543,0.2465,0.4884,0.2444,0.8407,0.6906
16,0.2006,0.2695,0.1966,0.2885,0.2465,0.2993,0.5395,0.6811
17,0.1744,0.1943,0.1811,0.2056,0.2515,0.2193,0.565,0.6605
18,1.4591,1.3655,1.379,1.6988,1.403,1.6225,1.6501,2.0293
19,0.2921,0.2467,0.2971,0.3234,0.3166,0.313,0.5401,0.6773
20,0.1647,0.1492,0.1631,0.1606,0.1753,0.1577,0.464,0.6496
21,0.2085,0.3711,0.2245,0.2529,0.2909,0.3067,0.6113,0.6084
22,0.1481,0.1715,0.1377,0.11,0.2827,0.1376,0.597,0.599
23,0.6967,0.9998,0.6928,1.0301,0.7215,1.0418,0.8926,1.1228
24,8.7342,12.6111,8.8977,8.8553,9.0096,12.8133,5.6067,4.5968
25,0.1017,0.0877,0.0958,0.1316,0.2112,0.1146,0.4964,0.6491
26,1.0432,1.0034,1.0806,1.0073,1.0731,1.0126,0.9585,1.1309
27,0.0852,0.0658,0.0889,0.1055,0.1019,0.0845,0.402,0.6509
28,0.3891,0.5561,0.3934,0.3818,0.5188,0.4841,0.7475,0.7403
29,0.0458,0.0274,0.0485,0.0542,0.065,0.0465,0.3691,0.6047
